dateTimeStamp,TC_gaze,TC_exposure_only
2023-09-25 13:09:59,0,1
2023-09-25 13:10:01,0,1
2023-09-25 13:10:03,0,1
2023-09-25 13:10:05,0,1
2023-09-25 13:10:07,0,1
2023-09-25 13:10:09,0,1
2023-09-25 13:10:11,0,1
2023-09-25 13:10:13,0,1
2023-09-25 13:10:15,0,1
2023-09-25 13:10:17,0,1
2023-09-25 13:10:19,0,1
2023-09-25 13:10:21,0,1
2023-09-25 13:10:23,0,1
2023-09-25 13:10:25,0,1
2023-09-25 13:10:26,0,1
2023-09-25 13:10:28,0,1
2023-09-25 13:10:30,0,1
2023-09-25 13:10:32,0,1
2023-09-25 13:10:34,0,1
2023-09-25 13:10:36,0,1
2023-09-25 13:10:38,0,1
2023-09-25 13:10:40,0,1
2023-09-25 13:10:42,0,1
2023-09-25 13:10:44,0,1
2023-09-25 13:10:46,0,1
2023-09-25 13:10:48,0,1
2023-09-25 13:10:50,0,1
2023-09-25 13:10:52,0,1
2023-09-25 13:10:54,0,1
2023-09-25 13:10:56,0,1
2023-09-25 13:10:58,0,1
2023-09-25 13:11:00,0,1
2023-09-25 13:11:02,0,1
2023-09-25 13:11:04,0,1
2023-09-25 13:11:06,0,1
2023-09-25 13:11:08,0,1
2023-09-25 13:11:10,0,1
2023-09-25 13:11:12,0,1
2023-09-25 13:11:14,0,1
2023-09-25 13:11:16,0,1
2023-09-25 13:11:18,0,1
2023-09-25 13:11:20,0,1
2023-09-25 13:11:22,0,1
2023-09-25 13:11:23,0,1
2023-09-25 13:11:25,0,1
2023-09-25 13:11:27,0,1
2023-09-25 13:11:29,0,1
2023-09-25 13:11:31,0,1
2023-09-25 13:11:33,0,1
2023-09-25 13:11:35,0,1
2023-09-25 13:11:37,0,1
2023-09-25 13:11:39,0,1
2023-09-25 13:11:41,0,1
2023-09-25 13:11:43,0,1
2023-09-25 13:11:45,0,1
2023-09-25 13:11:47,0,1
2023-09-25 13:11:49,0,1
2023-09-25 13:11:51,0,1
2023-09-25 13:11:53,0,1
2023-09-25 13:11:55,0,1
2023-09-25 13:11:57,0,1
2023-09-25 13:11:59,0,1
2023-09-25 13:12:01,0,1
2023-09-25 13:12:03,0,1
2023-09-25 13:12:05,0,1
2023-09-25 13:12:07,0,1
2023-09-25 13:12:09,0,1
2023-09-25 13:12:11,0,1
2023-09-25 13:12:13,0,1
2023-09-25 13:12:15,0,1
2023-09-25 13:12:17,0,1
2023-09-25 13:12:19,0,1
2023-09-25 13:12:20,0,1
2023-09-25 13:12:22,0,1
2023-09-25 13:12:24,0,1
2023-09-25 13:12:26,0,1
2023-09-25 13:12:28,1,0
2023-09-25 13:12:30,0,1
2023-09-25 13:12:32,0,1
2023-09-25 13:12:34,0,1
2023-09-25 13:12:36,0,1
2023-09-25 13:12:38,1,0
2023-09-25 13:12:40,0,1
2023-09-25 13:12:42,0,1
2023-09-25 13:12:44,0,1
2023-09-25 13:12:46,0,1
2023-09-25 13:12:48,0,1
2023-09-25 13:12:50,0,1
2023-09-25 13:12:52,0,1
2023-09-25 13:12:54,0,1
2023-09-25 13:12:56,0,1
2023-09-25 13:12:58,0,1
2023-09-25 13:13:00,0,1
2023-09-25 13:13:02,0,1
2023-09-25 13:13:04,0,1
2023-09-25 13:13:06,0,1
2023-09-25 13:13:08,0,1
2023-09-25 13:13:10,0,1
2023-09-25 13:13:12,0,1
2023-09-25 13:13:14,0,1
2023-09-25 13:13:15,0,1
2023-09-25 13:13:17,0,1
2023-09-25 13:13:19,0,1
2023-09-25 13:13:21,0,1
2023-09-25 13:13:23,0,1
2023-09-25 13:13:25,0,1
2023-09-25 13:13:27,0,1
2023-09-25 13:13:29,0,1
2023-09-25 13:13:31,0,1
2023-09-25 13:13:33,0,1
2023-09-25 13:13:35,0,1
2023-09-25 13:13:37,0,1
2023-09-25 13:13:39,0,1
2023-09-25 13:13:41,0,1
2023-09-25 13:13:43,0,1
2023-09-25 13:13:45,0,1
2023-09-25 13:13:47,0,1
2023-09-25 13:13:49,0,1
2023-09-25 13:13:51,0,1
2023-09-25 13:13:53,0,1
2023-09-25 13:13:55,0,1
2023-09-25 13:13:57,0,1
2023-09-25 13:13:59,0,1
2023-09-25 13:14:01,0,1
2023-09-25 13:14:03,0,1
2023-09-25 13:14:05,0,1
2023-09-25 13:14:07,0,1
2023-09-25 13:14:09,0,1
2023-09-25 13:14:11,0,1
2023-09-25 13:14:12,0,1
2023-09-25 13:14:14,0,1
2023-09-25 13:14:16,0,1
2023-09-25 13:14:18,0,1
2023-09-25 13:14:20,0,1
2023-09-25 13:14:22,0,1
2023-09-25 13:14:24,0,1
2023-09-25 13:14:26,0,1
2023-09-25 13:14:28,0,1
2023-09-25 13:14:30,0,1
2023-09-25 13:14:32,0,1
2023-09-25 13:14:34,0,1
2023-09-25 13:14:36,0,1
2023-09-25 13:14:38,0,1
2023-09-25 13:14:40,0,1
2023-09-25 13:14:42,0,1
2023-09-25 13:14:44,0,1
2023-09-25 13:14:46,0,1
2023-09-25 13:14:48,0,1
2023-09-25 13:14:50,0,1
2023-09-25 13:14:52,0,1
2023-09-25 13:14:54,0,1
2023-09-25 13:14:56,0,1
2023-09-25 13:14:58,0,1
2023-09-25 13:15:00,0,1
2023-09-25 13:15:02,0,1
2023-09-25 13:15:04,0,1
2023-09-25 13:15:06,0,1
2023-09-25 13:15:08,0,1
2023-09-25 13:15:09,0,1
2023-09-25 13:15:11,0,1
2023-09-25 13:15:13,0,1
2023-09-25 13:15:15,0,1
2023-09-25 13:15:17,0,1
2023-09-25 13:15:19,0,1
2023-09-25 13:15:21,0,1
2023-09-25 13:15:23,0,1
2023-09-25 13:15:25,0,1
2023-09-25 13:15:27,0,1
2023-09-25 13:15:29,0,1
2023-09-25 13:15:31,0,1
2023-09-25 13:15:33,0,1
2023-09-25 13:15:35,0,1
2023-09-25 13:15:37,0,1
2023-09-25 13:15:39,1,0
2023-09-25 13:15:41,0,1
2023-09-25 13:15:43,0,1
2023-09-25 13:15:45,0,1
2023-09-25 13:15:47,0,1
2023-09-25 13:15:49,0,1
2023-09-25 13:15:51,0,1
2023-09-25 13:15:53,0,1
2023-09-25 13:15:55,0,1
2023-09-25 13:15:57,0,1
2023-09-25 13:15:59,0,1
2023-09-25 13:16:01,0,1
2023-09-25 13:16:03,0,1
2023-09-25 13:16:04,0,1
2023-09-25 13:16:06,0,1
2023-09-25 13:16:08,0,1
2023-09-25 13:16:10,0,1
2023-09-25 13:16:12,0,1
2023-09-25 13:16:14,0,1
2023-09-25 13:16:16,0,1
2023-09-25 13:16:18,0,1
2023-09-25 13:16:20,0,1
2023-09-25 13:16:22,0,1
2023-09-25 13:16:24,0,1
2023-09-25 13:16:26,0,1
2023-09-25 13:16:28,0,1
2023-09-25 13:16:30,0,1
2023-09-25 13:16:32,0,1
2023-09-25 13:16:34,0,1
2023-09-25 13:16:36,0,1
2023-09-25 13:16:38,0,1
2023-09-25 13:16:40,0,1
2023-09-25 13:16:42,0,1
2023-09-25 13:16:44,0,1
2023-09-25 13:16:46,0,1
2023-09-25 13:16:48,0,1
2023-09-25 13:16:50,0,1
2023-09-25 13:16:52,0,1
2023-09-25 13:16:54,0,1
2023-09-25 13:16:56,0,1
2023-09-25 13:16:58,0,1
2023-09-25 13:17:00,0,1
2023-09-25 13:17:02,0,1
2023-09-25 13:17:03,0,1
2023-09-25 13:17:05,0,1
2023-09-25 13:17:07,0,1
2023-09-25 13:17:09,0,1
2023-09-25 13:17:11,0,1
2023-09-25 13:17:13,0,1
2023-09-25 13:17:15,0,1
2023-09-25 13:17:17,0,1
2023-09-25 13:17:19,0,1
2023-09-25 13:17:21,0,1
2023-09-25 13:17:23,0,1
2023-09-25 13:17:25,0,1
2023-09-25 13:17:27,0,1
2023-09-25 13:17:29,0,1
2023-09-25 13:17:31,0,1
2023-09-25 13:17:33,0,1
2023-09-25 13:17:35,1,0
2023-09-25 13:17:37,0,1
2023-09-25 13:17:39,1,0
2023-09-25 13:17:41,1,0
2023-09-25 13:17:43,1,0
2023-09-25 13:17:45,0,1
2023-09-25 13:17:47,0,1
2023-09-25 13:17:49,0,1
2023-09-25 13:17:51,1,0
2023-09-25 13:17:53,0,1
2023-09-25 13:17:55,0,1
2023-09-25 13:17:57,0,1
2023-09-25 13:17:59,0,1
2023-09-25 13:18:01,0,1
2023-09-25 13:18:03,0,1
2023-09-25 13:18:05,0,1
2023-09-25 13:18:07,0,1
2023-09-25 13:18:09,0,1
2023-09-25 13:18:11,0,1
2023-09-25 13:18:13,0,1
2023-09-25 13:18:15,0,1
2023-09-25 13:18:17,0,1
