date TimeStamp frameNum numFaces tcPresent phi theta sigma rot. top left bottom right tag
2023-09-25 13:37:24.997372 065912 3 1 -0.007801258 -0.17049658 0.02756428 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:26.973727 065971 3 1 0.016914574 -0.2152465 0.028936122 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:28.935000 066030 3 1 -0.005335515 -0.16022646 0.027418885 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:30.905571 066089 3 1 -0.003943007 -0.17654948 0.028591214 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:32.867169 066148 3 1 -0.052908096 -0.2073959 0.02908924 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:34.833199 066207 3 1 0.008337689 -0.14431354 0.026563246 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:36.799223 066266 3 1 -0.09220662 -0.12619215 0.026525745 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:38.766237 066325 3 1 0.00010281389 -0.11485221 0.02687388 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:40.727073 066384 3 1 0.010977821 -0.11676356 0.026805865 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:42.683094 066443 3 1 0.019826174 -0.115238965 0.026631758 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:44.656108 066502 3 1 0.014522015 -0.1450864 0.028514987 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:46.625014 066561 3 1 -0.007367816 -0.1584962 0.027023176 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:48.587295 066620 3 1 -0.0063949917 -0.13390508 0.027789138 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:50.557494 066679 3 1 0.019767825 -0.11773162 0.027166735 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:52.519208 066738 3 1 0.008849239 -0.12250835 0.026948676 0.0 271 261 311 290 Gaze-det
2023-09-25 13:37:54.485695 066797 3 1 0.010711246 -0.13391054 0.027255977 0.0 271 260 311 290 Gaze-det
2023-09-25 13:37:56.446896 066856 3 1 0.017397417 -0.16051692 0.02820136 0.0 271 260 311 290 Gaze-det
2023-09-25 13:37:58.417152 066915 3 1 0.013244912 -0.166498 0.029475916 -4.1849161251184155 270 260 312 290 Gaze-det
2023-09-25 13:38:00.379078 066974 3 1 -0.04572299 -0.1603684 0.027194807 -5.572197803963795 271 260 311 290 Gaze-det
2023-09-25 13:38:02.335366 067033 3 1 -0.005984744 -0.11750772 0.026886586 0.0 271 260 311 290 Gaze-det
2023-09-25 13:38:04.312192 067092 3 1 -0.00042741786 -0.11901974 0.026788091 0.0 271 260 311 290 Gaze-det
2023-09-25 13:38:06.277265 067151 3 1 -0.002515411 -0.11621824 0.0265501 -5.572197803963795 271 260 311 290 Gaze-det
2023-09-25 13:38:08.239215 067210 3 1 -0.00012984862 -0.11376808 0.026463475 -5.572197803963795 271 260 311 289 Gaze-det
2023-09-25 13:38:10.209543 067269 3 1 -0.0048056706 -0.117950685 0.02628732 -5.572197803963795 271 260 311 290 Gaze-det
2023-09-25 13:38:12.172480 067328 3 1 -0.013424404 -0.1418434 0.02761537 -5.572197803963795 271 260 311 289 Gaze-det
2023-09-25 13:38:14.137241 067387 3 1 0.0078023467 -0.11199899 0.026618186 0.0 271 260 311 289 Gaze-det
2023-09-25 13:38:16.099175 067446 3 1 -0.0312254 -0.123747036 0.02745464 0.0 271 260 311 289 Gaze-det
2023-09-25 13:38:18.069191 067505 3 1 0.013432257 -0.103553385 0.025823344 -5.572197803963795 271 260 311 289 Gaze-det
2023-09-25 13:38:20.031324 067564 3 1 -0.019819193 -0.13872626 0.026102254 0.0 271 260 311 289 Gaze-det
