timestamp,orig_framenumber,timestamp_number,flash_prediction,Gold_standard,TC_Present
2023-09-25 12:59:32.882726,13213,46772,0,2,0
2023-09-25 12:59:34.852775,13272,46774,0,2,0
2023-09-25 12:59:36.814768,13331,46776,0,2,0
2023-09-25 12:59:38.785665,13390,46778,0,2,0
2023-09-25 12:59:40.746686,13449,46780,0,2,0
2023-09-25 12:59:42.712977,13508,46782,0,2,0
2023-09-25 12:59:44.674468,13567,46784,0,2,0
2023-09-25 12:59:46.640717,13626,46786,0,2,0
2023-09-25 12:59:48.607044,13685,46788,0,2,0
2023-09-25 12:59:50.572922,13744,46790,0,2,0
2023-09-25 12:59:52.534743,13803,46792,0,2,0
2023-09-25 12:59:54.505183,13862,46794,0,2,0
2023-09-25 12:59:56.467699,13921,46796,0,2,0
2023-09-25 12:59:58.432887,13980,46798,0,2,0
2023-09-25 13:00:00.394514,14039,46800,0,2,0
2023-09-25 13:00:02.364791,14098,46802,0,2,0
2023-09-25 13:00:04.326890,14157,46804,0,2,0
2023-09-25 13:00:06.293212,14216,46806,0,2,0
2023-09-25 13:00:08.258764,14275,46808,0,2,0
2023-09-25 13:00:10.225099,14334,46810,0,2,0
2023-09-25 13:00:12.187576,14393,46812,0,2,0
2023-09-25 13:00:14.157517,14452,46814,0,2,0
2023-09-25 13:00:16.118889,14511,46816,0,2,0
2023-09-25 13:00:18.085018,14570,46818,0,2,0
2023-09-25 13:00:20.091463,14627,46820,0,2,0
2023-09-25 13:00:22.149875,14665,46822,0,2,0
2023-09-25 13:00:24.143881,14695,46824,0,2,0
2023-09-25 13:00:26.141688,14725,46826,0,2,0
2023-09-25 13:00:28.135631,14755,46828,0,2,0
2023-09-25 13:00:30.133540,14785,46830,0,2,0
2023-09-25 13:00:32.127652,14815,46832,0,2,0
2023-09-25 13:00:34.134737,14845,46834,0,2,0
2023-09-25 13:00:36.123826,14875,46836,0,2,0
2023-09-25 13:00:38.121634,14905,46838,0,2,0
2023-09-25 13:00:40.115614,14935,46840,0,2,0
2023-09-25 13:00:42.114207,14965,46842,0,2,0
2023-09-25 13:00:44.108560,14995,46844,0,2,0
2023-09-25 13:00:46.105740,15025,46846,0,2,0
2023-09-25 13:00:48.099861,15055,46848,0,2,0
2023-09-25 13:00:50.097903,15085,46850,0,2,0
2023-09-25 13:00:52.091808,15115,46852,0,2,0
2023-09-25 13:00:54.094876,15145,46854,0,2,0
2023-09-25 13:00:56.087762,15175,46856,0,2,0
2023-09-25 13:00:58.085660,15205,46858,0,2,0
